ref;design;Preco_Euros
CSONMWCECOG120;ON(m): CS Web Corporate Ecovalor p/ Gestão 1a20 U.A.;0,42
CSSADECONS20;SA: CS Desktop Enterprise Consolidação 6a20 U.A.;100
CSONCRGPD;ON: CS Corporate RGPD;96
CSONMEEQPMP21P;ON(m): CS Enterprise Equipamento p/ POS +20 Postos;2,08
CSONMWASUPUA;ON(m): CS Web Advanced Suporte U.A.;2,42
CSATWEECOG21;AT: CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;10
CSDEFORM5;CS Desktop Enterprise Formação 1a5 U.A.;574
CSWEDEN;CS Web Enterprise Denúncias;163
CSCPGCRMSAM;CS Corporate Gestão Completo + CRM Comercial Srv.Adic.Mono;1200
CSONWERECRU20;ON: CS Web Enterprise Recrutamento 6a20 U.A.;50
CSWEOKR100;CS Web Enterprise OKR 21a100 U.A.;97
CSATWEDOC400;AT: CS Web Enterprise Documentos 101a400 U.A.;10
CSONCDE;ON: CS Corporate Documentos Eletrónicos;96
CSONMDAIMOVUA;ON(m): CS Desktop Advanced Imóveis U.A.;3,17
CSONCSINC5P;ON: CS Corporate Sincro 1a5 Postos;38
CSONMCFORNR5P;ON(m): CS Corporate Fornecedores p/ Rest. 2a5 Postos;7,42
CSATAFROTR;AT: CS Advanced Frota Rede;1160
CSEFROTSA;CS Enterprise Frota Srv.Adic.;1344
CSSAWESMSI;SA: CS WEB Enterprise SMS Intranet;42
CSONMEPLATUA;ON: CS Manufactor Executive Platform U.A.;227
CSATCFORNP1P;AT: CS Corporate Fornecedores p/ POS 1º Posto;151
CSECONTR;CS Enterprise Contabilidade Rede;6238
CSSAEESTS;SA: CS Enterprise Estações de Serviço;460
CSONCGESTEM;ON: CS Corporate Gestão Terceiros Mono;346
CERTUPCORADV;Evolução Certificação PHC CS Corporate/Advanced;100
CSONAEQUISA;ON: CS Advanced Equipa Srv.Adic.;278
CSONMDEGAI401;ON(m): CS Desktop Enterprise GenAI +400 U.A.;0,17
CSONERGPDPPA;ON: CS Enterprise RGPD p/ POS Posto;61
CSONACRMR;ON: CS Advanced CRM Rede;557
CSONWADEN;ON: CS Web Advanced Denúncias;11
CSCECOGSAR;CS Corporate Ecovalor p/ Gestão Srv.Adic.Rede;288
CSONMETERMR21P;ON(m): CS Enterprise Terminais p/ Rest. +20 Postos;2,08
CSATWARECRU120;AT: CS Web Advanced Recrutamento 1a20 U.A.;76
CSONACARR;ON: CS Advanced Careers Rede;281
CSDECONS20;CS Desktop Enterprise Consolidação 6a20 U.A.;278
CSWCEQUI120;CS Web Corporate Equipa 1a20 U.A.;38
CSATAPROJSA;AT: CS Advanced Projeto p/ Gestão Srv.Adic.;1520
CSONEDENSA;ON: CS Enterprise Denúncias Srv.Adic.;110
CSSACGREGR;SA: CS Corporate Grelhas p/ Gestão Rede;207
CSEEDIBSA;CS Enterprise EDI Broker Srv.Adic.;418
CSSADEGAI100;SA: CS Desktop Enterprise GenAI 21a100 U.A.;18
CSSAWCCRM120;SA: CS Web Corporate CRM 1a20 U.A.;14
CSONMCIMOBSAM;ON(m): CS Corporate Imobilizado Srv.Adic.Mono;11,25
CSONDCLETUA;ON: CS Desktop Corporate Letras U.A.;8
CSSADEOBRG5;SA: CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;43
CSSADAPQDBUA;SA: CS Desktop Advanced Qualidade + Documentos + BPM U.A.;87
CSONMEFORMSA;ON(m): CS Enterprise Formação Srv.Adic.;37,92
CSONMMEMRPR;ON(m): CS Manufactor Executive MRP Rede;96
SQL22CLSTANDARD;SQL Server Standard Edition 2022 - 2 Licences CORE;7099
CSAGESSA;CS Advanced Gestão Srv.Adic.;1983
CSSAFSP10;SA: CS File Storage - Aquisição 10 GB;0
CSADERES;CS Advanced Documentos Eletrónicos p/ Restauração;150
CSDEREVIP21;CS Desktop Enterprise Revisão de Preços +20 U.A.;74
CSMEPLATSA;CS Manufactor Executive Platform Srv.Adic.;4737
CSAESNR;CS Advanced Licença de Ensino Rede;329
CSSACFORNR1P;SA: CS Corporate Fornecedores p/ Rest. 1º Posto;109
CSDEMEDIP5;CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;298
CSWEECOG21;CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;20
CSWEEQPMG20;CS Web Enterprise Equipamento p/ Gestão 6a20 U.A.;41
CSSACOCUGM;SA: CS Corporate Ocupação p/ Gestão Mono;230
CSONMDASUPSTUA;ON(m): CS Desktop Advanced Suporte + Stocks U.A.;4,5
CSONEMULTSA;ON: CS Enterprise Multilingua Srv.Adic.;91
CSSADEVENC20;SA: CS Desktop Enterprise Vencimentos 6a20 U.A.;102
CSATWECONT21;AT: CS Web Enterprise Contabilidade +20 U.A.;52
CSONMAMULT;ON(m): CS Advanced Multilingua;16,67
CSONMAREVIPR;ON(m): CS Advanced Revisão de Preços Rede;46,42
CSATWECOLAB20;AT: CS Web Enterprise Colaborador 6a20 U.A.;47
CSATWECAR401;AT: CS Web Enterprise Careers +400 U.A.;5
CSWECONT5;CS Web Enterprise Contabilidade 1a5 U.A.;415
CSATWEFORME;AT: CS Web Enterprise Formação Extranet;1498
CSDESHST5;CS Desktop Enterprise SHST 1a5 U.A.;211
CSSAWEFORME;SA: CS Web Enterprise Formação Extranet;1077
CSONMWEGAI401;ON(m): CS Web Enterprise GenAI +400 U.A.;0,08
CSSADEEQUI5;SA: CS Desktop Enterprise Equipa 1a5 U.A.;147
NSFMANPA;Ficha Manufactor Partner Anual;88
CSONMEMULTSA;ON(m): CS Enterprise Multilingua Srv.Adic.;7,58
CSATDACARUA;AT: CS Desktop Advanced Careers U.A.;81
CSDEFORM20;CS Desktop Enterprise Formação 6a20 U.A.;287
CSATDEFORM21;AT: CS Desktop Enterprise Formação +20 U.A.;71
CSONMEORCAPSA;ON(m): CS Enterprise Orçamento p/ Gestão Srv.Adic.;20,17
CSATESINC10P;AT: CS Enterprise Sincro 1a10 Postos;143
CSSAACONSR;SA: CS Advanced Consolidação Rede;2300
CSONMEPOS21P;ON(m): CS Enterprise POS +20 Postos;12,42
CSONMCPLANPSAM;ON(m): CS Corporate Planeamento p/ Gestão Srv.Adic.Mono;7,17
CSSAWEOKR100;SA: CS Web Enterprise OKR 21a100 U.A.;35
CSONMWCDOCE;ON(m): CS Web Corporate Documentos Extranet;10
CSONMDALOGIGUA;ON(m): CS Desktop Advanced Logística p/ Gestão U.A.;2,75
CSATCGREGM;AT: CS Corporate Grelhas p/ Gestão Mono;242
CSONMDESC20;ON(m): CS Desktop Enterprise Safe Credit 6a20 U.A.;0,58
CSCCLIM;CS Corporate Clínica Mono;1122
CSWACOLAB101;CS Web Advanced Colaborador +100 U.A.;10
CSATDESUP5;AT: CS Desktop Enterprise Suporte 1a5 U.A.;287
CSWEFORM5;CS Web Enterprise Formação 1a5 U.A.;423
CSONDESUP20;ON: CS Desktop Enterprise Suporte 6a20 U.A.;69
CSONMEEQPMGSA;ON(m): CS Enterprise Equipamento p/ Gestão Srv.Adic.;8
CSONMWEEQUIE;ON(m): CS Web Enterprise Equipa Extranet;40
CSONMCSERVGSAM;ON(m): CS Corporate Serviços Srv.Adic.Mono;4,83
CSSADAECOGUA;SA: CS Desktop Advanced Ecovalor p/ Gestão U.A.;14
CSONMDAQUALIUA;ON(m): CS Desktop Advanced Qualidade U.A.;3,17
CSWAGEB2C;CS Web Advanced Grelhas p/ E-Commerce B2C;358
CSAESTS;CS Advanced Estações de Serviço;961
CSONCINT;ON: CS Corporate Intrastat;192
CSATARGPDPPA;AT: CS Advanced RGPD p/ POS Posto;95
CSONADEN;ON: CS Advanced Denúncias;173
CSAIECAGSA;CS Advanced IEC Álcool p/ Gestão Srv.Adic.;298
CSSAWCEQUI120;SA: CS Web Corporate Equipa 1a20 U.A.;14
CSONMAEQPMGSA;ON(m): CS Advanced Equipamento p/ Gestão Srv.Adic.;6
CSATDCCONTUA;AT: CS Desktop Corporate Contabilidade U.A.;37
CSONDCFORMUA;ON: CS Desktop Corporate Formação U.A.;22
CSONAEDIBSA;ON: CS Advanced EDI Broker Srv.Adic.;50
CSCLETSAM;CS Corporate Letras Srv.Adic.Mono;320
CSSAEGREGR;SA: CS Enterprise Grelhas p/ Gestão Rede;477
CSCIECAGM;CS Corporate IEC Álcool p/ Gestão Mono;483
CSDELET20;CS Desktop Enterprise Letras 6a20 U.A.;174
CSSAACARR;SA: CS Advanced Careers Rede;421
CSONMCLOTGR;ON(m): CS Corporate Lotes p/ Gestão Rede;15,33
CSSACPOS5P;SA: CS Corporate POS 2a5 Postos;145
CSCSUPSAR;CS Corporate Suporte Srv.Adic.Rede;672
CERTIFENT;Certificação PHC CS Enterprise;350
CSATEFROTSA;AT: CS Enterprise Frota Srv.Adic.;672
CSMMPLAUA;CS Manufactor Manager Planning U.A.;205
CSONMWCDEEXT;ON(m): CS Web Corporate Documentos Eletrónicos Extranet;5,08
CSASHSTR;CS Advanced SHST Rede;882
CSSAWCECOE;SA: CS Web Corporate Ecovalor Extranet;67
CSONMCGAIR;ON(m): CS Corporate GenAI rede;8
CSATECRMR;AT: CS Enterprise CRM Rede;2240
CSONERES20P;ON: CS Enterprise Restauração 11a20 Postos;186
CSONELETR;ON: CS Enterprise Letras Rede;952
CSONMAMESTS1P;ON(m): CS Advanced Multi Estação Serviço 1º Posto;10,42
CSONWALOTGUA;ON: CS Web Advanced Lotes p/ Gestão U.A.;24
CSONMESUPSTR;ON(m): CS Enterprise Suporte + Stocks Rede;158,42
CSATDEOBRG5;AT: CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;60
CSDEGAI100;CS Desktop Enterprise GenAI 21a100 U.A.;49
CSONMCDOCSAM;ON(m): CS Corporate Documentos Srv.Adic.Mono;8
CSATEMULTP10P;AT: CS Enterprise Multilingua p/ POS 1a10 Postos;79
CSONMWECOLAB20;ON(m): CS Web Enterprise Colaborador 6a20 U.A.;1,92
CSATCORCAPR;AT: CS Corporate Orçamento p/ Gestão Rede;912
TOGWEBPARTNERUA;Together Partner - Utilizador Adicional WEB;35
CSONMAPLANPSA;ON(m): CS Advanced Planeamento p/ Gestão Srv.Adic.;11,25
CSONMEGREP21P;ON(m): CS Enterprise Grelhas p/ POS +20 Postos;1,67
CSDAGAI101;CS Desktop Advanced GenAI +100 U.A.;7
CSONMEGREP10P;ON(m): CS Enterprise Grelhas p/ POS 1a10 Postos;2,42
CSONMEPLAUA;ON: CS Manufactor Executive Planning U.A.;153
CSONMDESHST5;ON(m): CS Desktop Enterprise SHST 1a5 U.A.;4,25
CSONMDEVENC21;ON(m): CS Desktop Enterprise Vencimentos +20 U.A.;2,83
CSDEVENC20;CS Desktop Enterprise Vencimentos 6a20 U.A.;283
CSWASMSI;CS WEB Advanced SMS Intranet;78
CSONMEPLANPR;ON(m): CS Enterprise Planeamento p/ Gestão Rede;28,83
CERTGODP;Certificação PHC GO Developer Partner;50
CSATCGESCLR;AT: CS Corporate Gestão Clientes Rede;251
CSONWCCRM120;ON: CS Web Corporate CRM 1a20 U.A.;9
CSONDAGREGUA;ON: CS Desktop Advanced Grelhas p/ Gestão U.A.;9
CSONMWACOLAB101;ON(m): CS Web Advanced Colaborador +100 U.A.;0,17
CSONDASHSTUA;ON: CS Desktop Advanced SHST U.A.;13
CSSACMEDIPR;SA: CS Corporate Medição p/ Gestão Rede;656
CSONMESHSTR;ON(m): CS Enterprise SHST Rede;46,08
CSSAEIMOBR;SA: CS Enterprise Imobilizado Rede;2242
CSATCORCAPM;AT: CS Corporate Orçamento p/ Gestão Mono;760
CSWASUPE;CS Web Advanced Suporte Extranet;1998
CSONMWEGES21;ON(m): CS Web Enterprise Gestão +20 U.A.;5,92
CSONWCDEEXT;ON: CS Web Corporate Documentos Eletrónicos Extranet;61
CSONMMEPLASA;ON(m): CS Manufactor Executive Planning Srv.Adic.;64
CSAPQDBR;CS Advanced Qualidade + Documentos + BPM Rede;3478
CSONAOCUGSA;ON: CS Advanced Ocupação p/ Gestão Srv.Adic.;232
CSONMAGESR;ON(m): CS Advanced Gestão Rede;79,33
CSATDECLI21;AT: CS Desktop Enterprise Clínica +20 U.A.;52
CSDECAR20;CS Desktop Enterprise Careers 6a20 U.A.;285
CSATMMGREPR;AT: CS Manufactor Manager Grelhas Rede;399
CSONEIECAP21P;ON: CS Enterprise IEC Álcool p/ POS +20 Postos;20
CSATETERMP;AT: CS Enterprise Terminais Portáteis;1600
CSONMCMULTR5P;ON(m): CS Corporate Multilingua p/ Restauração 1a5 Postos;1,67
CSSADEFORM21;SA: CS Desktop Enterprise Formação +20 U.A.;51
CSONMDCEQUIUA;ON(m): CS Desktop Corporate Equipa U.A.;1,08
CSSAWEGAI400;SA: CS Web Enterprise GenAI 101a400 U.A.;3
CSATWACOLAB100;AT: CS Web Advanced Colaborador 21a100 U.A.;15
CSATWEIMOB20;AT: CS Web Enterprise Imobilizado 6a20 U.A.;98
CSONMWAGEB2C;ON(m): CS Web Advanced Grelhas p/ E-Commerce B2C;7,17
CSSAAOKRR;SA: CS Advanced OKR Rede;625
CSWADOC100;CS Web Advanced Documentos 21a100 U.A.;59
CSONMDEDOCB20;ON(m): CS Desktop Enterprise Documentos + BPM 6a20 U.A.;3,5
CSONMCSUPSTM;ON(m): CS Corporate Suporte + Stocks Mono;26,25
CSATCCLISAR;AT: CS Corporate Clínica Srv.Adic.Rede;336
CSATWAEB2B;AT: CS Web Advanced E-Commerce B2B;999
CSONWEFORM20;ON: CS Web Enterprise Formação 6a20 U.A.;51
CSONCLETSAM;ON: CS Corporate Letras Srv.Adic.Mono;77
CSONMAPLANPR;ON(m): CS Advanced Planeamento p/ Gestão Rede;22,42
CSEINTSA;CS Enterprise Intrastat Srv.Adic.;961
CSSADEGES20;SA: CS Desktop Enterprise Gestão 6a20 U.A.;292
CSAMULTSA;CS Advanced Multilingua Srv.Adic.;416
CSONMDEOCUG21;ON(m): CS Desktop Enterprise Ocupação p/ Gestão +20 U.A.;1,17
CSATEEQUIR;AT: CS Enterprise Equipa Rede;2240
CSATAGESSA;AT: CS Advanced Gestão Srv.Adic.;992
CSCMULT;CS Corporate Multilingua;464
CSONWADOCE;ON: CS Web Advanced Documentos Extranet;264
CSDEEQPMG20;CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;55
CSONEGREP21P;ON: CS Enterprise Grelhas p/ POS +20 Postos;20
CSATDCMEDIPUA;AT: CS Desktop Corporate Medição p/ Gestão U.A.;48
CSATAPOSPA;AT: CS Advanced POS Posto Adic.;303
CSONMERGPDSA;ON(m): CS Enterprise RGPD Srv.Adic.;9,17
CSONMEPLATI;ON: CS Manufactor Executive Platform Intranet;44
CSONWCECOE;ON: CS Web Corporate Ecovalor Extranet;45
CSDEEQUI20;CS Desktop Enterprise Equipa 6a20 U.A.;209
CSONALOGIGSA;ON: CS Advanced Logística p/ Gestão Srv.Adic.;238
CSONMCIECAGM;ON(m): CS Corporate IEC Álcool p/ Gestão Mono;9,67
CSONMEMRPR;ON: CS Manufactor Executive MRP Rede;1152
CSSAELETR;SA: CS Enterprise Letras Rede;1425
CSONMAOBRGSA;ON(m): CS Advanced Obras p/ Gestão Srv.Adic.;19,33
CSATWESUP5;AT: CS Web Enterprise Suporte 1a5 U.A.;212
CSSACCONTPM;SA: CS Corporate Controlo p/ Gestão Mono;259
CSWEGREG21;CS Web Enterprise Grelhas p/ Gestão +20 U.A.;20
CSONMMMPLATI;ON(m): CS Manufactor Manager Platform Intranet;2,08
CSONCOBRGM;ON: CS Corporate Obras p/ Gestão Mono;153
CSSAEINT;SA: CS Enterprise Intrastat;1150
CSONMEDERES;ON(m): CS Enterprise Documentos Eletrónicos p/ Restauração;4
CSONMERES20P;ON(m): CS Enterprise Restauração 11a20 Postos;15,5
ICPENTPARTNER;ICP Enterprise Partner;270
CSDEGREG20;CS Desktop Enterprise Grelhas p/ Gestão 6a20 U.A.;56
CSONMEIMOBR;ON(m): CS Enterprise Imobilizado Rede;124,75
CSONWAOKR100;ON: CS Web Advanced OKR 21a100 U.A.;12
CSMEPLATR;CS Manufactor Executive Platform Rede;9473
CSSACGESR;SA: CS Corporate Gestão Rede;828
CSWASMSE;CS WEB Advanced SMS Extranet;39
CSONESCR;ON: CS Enterprise Safe Credit Rede;134
CSONMAIECAPPA;ON(m): CS Advanced IEC Álcool p/ POS Posto;2
CSWAOKR100;CS Web Advanced OKR 21a100 U.A.;48
CSONMWEGREG5;ON(m): CS Web Enterprise Grelhas p/ Gestão 1a5 U.A.;1,83
CSONEEDIBSA;ON: CS Enterprise EDI Broker Srv.Adic.;100
CURGENAI;Curso GenAI PHC;50
CSONMDECONS21;ON(m): CS Desktop Enterprise Consolidação +20 U.A.;2,75
CSATCIMOVSAR;AT: CS Corporate Imóveis Srv.Adic.Rede;241
CSSAWEBC5;SA: CS Web Enterprise Bank Connector 5;200
CSATEOCUGSA;AT: CS Enterprise Ocupação p/ Gestão Srv.Adic.;432
CSONESERVGSA;ON: CS Enterprise Serviços Srv.Adic.;96
CSDEQUALI20;CS Desktop Enterprise Qualidade 6a20 U.A.;206
CSESINC21P;CS Enterprise Sincro +20 Postos;180
CSONMDCGAIUA;ON(m): CS Desktop Corporate GenAI U.A.;0,58
CSEPLANPR;CS Enterprise Planeamento p/ Gestão Rede;1441
CSSAWEDOC20;SA: CS Web Enterprise Documentos 6a20 U.A.;47
CSSADCPGGLOUA;SA: CS Desktop Corporate Gabinetes Global U.A.;62
CSSADAQUALIUA;SA: CS Desktop Advanced Qualidade U.A.;57
CSCECOGR;CS Corporate Ecovalor p/ Gestão Rede;576
CSSAWADEN;SA: CS Web Advanced Denúncias;17
CSONERES21P;ON: CS Enterprise Restauração +20 Postos;149
CSDECAR21;CS Desktop Enterprise Careers +20 U.A.;141
CSDEFROT21;CS Desktop Enterprise Frota +20 U.A.;103
CSONMMMTOUR;ON(m): CS Manufactor Manager Touch Rede;11,17
CSONAIECAPPA;ON: CS Advanced IEC Álcool p/ POS Posto;24
CSONCDERES;ON: CS Corporate Documentos Eletrónicos p/ Restauração;19
CSONMDEMEDIP5;ON(m): CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;6
CSONMWEDEINT;ON(m): CS Web Enterprise Documentos Eletrónicos Intranet;3,25
CSONCESTS;ON: CS Corporate Estações de Serviço;153
CSSACLOTGM;SA: CS Corporate Lotes p/ Gestão Mono;230
CSATETERMPSA;AT: CS Enterprise Terminais Portáteis Srv.Adic.;481
CSEECOP10P;CS Enterprise Ecovalor p/ POS 1a10 Postos;120
CSONCGAIR;ON: CS Corporate GenAI rede;96
CSATEFORNP10P;AT: CS Enterprise Fornecedores p/ POS 1a10 Postos;323
CSATCVENCSAM;AT: CS Corporate Vencimentos Srv.Adic.Mono;288
CSCMEDIPM;CS Corporate Medição p/ Gestão Mono;1519
CSONWEGES5;ON: CS Web Enterprise Gestão 1a5 U.A.;288
CSATESUPSTR;AT: CS Enterprise Suporte + Stocks Rede;3960
CSASQP5000;CS Assinaturas Qualificadas - Pack Adicional 5000;310
CSDECRM20;CS Desktop Enterprise CRM 6a20 U.A.;209
NSENCOMENDA;Entrega e gestão de encomendas;9
CSATAMULTSA;AT: CS Advanced Multilingua Srv.Adic.;208
CSATDELOGIG21;AT: CS Desktop Enterprise Logística p/ Gestão +20 U.A.;24
CSONMEESTS;ON(m): CS Enterprise Estações de Serviço;25,58
CSDCOBRGUA;CS Desktop Corporate Obras p/ Gestão U.A.;34
CSSAWECAR20;SA: CS Web Enterprise Careers 6a20 U.A.;36
CSONEMEDIPR;ON: CS Enterprise Medição p/ Gestão Rede;806
CSONMEEQUISA;ON(m): CS Enterprise Equipa Srv.Adic.;26,92
CSONMMMLOTR;ON(m): CS Manufactor Manager Lotes Rede;11,17
CSATEOCUGR;AT: CS Enterprise Ocupação p/ Gestão Rede;1440
CSSAEOCUGR;SA: CS Enterprise Ocupação p/ Gestão Rede;1035
CSONCGESTESAM;ON: CS Corporate Gestão Terceiros Srv.Adic.Mono;173
CSONEIECAP20P;ON: CS Enterprise IEC Álcool p/ POS 11a20 Postos;24
CSONMWAECOE;ON(m): CS Web Advanced Ecovalor Extranet;4,75
CSONDACLIUA;ON: CS Desktop Advanced Clínica U.A.;38
CSCPROJSAR;CS Corporate Projeto p/ Gestão Srv.Adic.Rede;2111
CSEIECAP20P;CS Enterprise IEC Álcool p/ POS 11a20 Postos;99
CSONESUPR;ON: CS Enterprise Suporte Rede;1517
CSONMAORCAPSA;ON(m): CS Advanced Orçamento p/ Gestão Srv.Adic.;23,17
CSONERES10P;ON: CS Enterprise Restauração 1a10 Postos;232
CSEECOGSA;CS Enterprise Ecovalor p/ Gestão Srv.Adic.;398
CSATCMULTP5P;AT: CS Corporate Multilingua p/ POS 1a5 Postos;42
CSONMAFORMR;ON(m): CS Advanced Formação Rede;46,42
CSDEGREG21;CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;29
CSATWCDOCE;AT: CS Web Corporate Documentos Extranet;249
CSATDEIECAG20;AT: CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;28
CSAGREGSA;CS Advanced Grelhas p/ Gestão Srv.Adic.;298
CSONEQUALISA;ON: CS Enterprise Qualidade Srv.Adic.;323
CSONCPROJM;ON: CS Corporate Projeto p/ Gestão Mono;845
CSONEEQPMP21P;ON: CS Enterprise Equipamento p/ POS +20 Postos;25
CSMEPLATIUA;CS Manufactor Executive Platform Intranet U.A.;17
CSDESUP21;CS Desktop Enterprise Suporte +20 U.A.;142
CSONEGESR;ON: CS Enterprise Gestão Rede;1843
CSONMWEECOG21;ON(m): CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;0,42
CSSAAESTS;SA: CS Advanced Estações de Serviço;345
CSONMDCVENCUA;ON(m): CS Desktop Corporate Vencimentos U.A.;1,5
CSATACRMSA;AT: CS Advanced CRM Srv.Adic.;580
CSCGREGM;CS Corporate Grelhas p/ Gestão Mono;483
CSONAOCUGR;ON: CS Advanced Ocupação p/ Gestão Rede;464
CSONMEQUADBR;ON(m): CS Enterprise Qualidade+Documentos+BPM Rede;129,33
CSDCDOCUA;CS Desktop Corporate Documentos U.A.;45
CSONWEFORM5;ON: CS Web Enterprise Formação 1a5 U.A.;102
CSSACSUPSTR;SA: CS Corporate Suporte + Stocks Rede;566
CSATWECRM21;AT: CS Web Enterprise CRM +20 U.A.;39
CSONMWACAR120;ON(m): CS Web Advanced Careers 1a20 U.A.;1,33
CSSADAOBRGUA;SA: CS Desktop Advanced Obras p/ Gestão U.A.;48
CSATWACONTUA;AT: CS Web Advanced Contabilidade U.A.;81
CSATDCIECAGUA;AT: CS Desktop Corporate IEC Álcool p/ Gestão U.A.;14
CSONMAIMOVSA;ON(m): CS Advanced Imóveis Srv.Adic.;23,17
CSDACRMUA;CS Desktop Advanced CRM U.A.;161
CSONMDCCLIUA;ON(m): CS Desktop Corporate Clínica U.A.;1,5
CSONMCORCAPSAM;ON(m): CS Corporate Orçamento p/ Gestão Srv.Adic.Mono;15,17
CSONEVENCR;ON: CS Enterprise Vencimentos Rede;1497
CSATDEMEDIP5;AT: CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;149
CSATCLOTP5P;AT: CS Corporate Lotes p/ POS 1a5 Postos;117
CSONMMPLATIUA;ON: CS Manufactor Manager Platform Intranet U.A.;2
CSATDESUPST20;AT: CS Desktop Enterprise Suporte + Stocks 6a20 U.A.;180
CSONMDEMEDIP20;ON(m): CS Desktop Enterprise Medição p/ Gestão 6a20 U.A.;3
CSDESUP5;CS Desktop Enterprise Suporte 1a5 U.A.;574
CSATWAGREE;AT: CS Web Advanced Grelhas Extranet;119
CSEDE;CS Enterprise Documentos Eletrónicos;1519
CSSAWEECOG21;SA: CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;7
CSONWEECOG21;ON: CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;5
CSATERGPDRPA;AT: CS Enterprise RGPD p/ Restauração Posto;127
CSATDEIECAG21;AT: CS Desktop Enterprise IEC Álcool p/ Gestão +20 U.A.;14
CSWEOKR20;CS Web Enterprise OKR 6a20 U.A.;140
CSATCGESR;AT: CS Corporate Gestão Rede;1152
CSATWAGREGUA;AT: CS Web Advanced Grelhas p/ Gestão U.A.;14
CSCCLIR;CS Corporate Clínica Rede;1343
CSATDEEQPMG20;AT: CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;28
CSMMPLATI;CS Manufactor Manager Platform Intranet;106
CSONDCIECAGUA;ON: CS Desktop Corporate IEC Álcool p/ Gestão U.A.;6
CSONDAECOGUA;ON: CS Desktop Advanced Ecovalor p/ Gestão U.A.;9
CSATECARR;AT: CS Enterprise Careers Rede;1170
CSDAFORMUA;CS Desktop Advanced Formação U.A.;161
CSONMEMEDIPR;ON(m): CS Enterprise Medição p/ Gestão Rede;67,17
CSCRGPDSA;CS Corporate RGPD Srv.Adic.;200
CSEVENCR;CS Enterprise Vencimentos Rede;6238
CSATEMESTSPA;AT: CS Enterprise Multi Estação Serviço Posto Adic.;421
CSSACLETR;SA: CS Corporate Letras Rede;276
CSWCFORM120;CS Web Corporate Formação 1a20 U.A.;69
CSATAFORNRPA;AT: CS Advanced Fornecedores p/ Rest. Posto;255
CSSACGREGM;SA: CS Corporate Grelhas p/ Gestão Mono;174
CSSADECAR20;SA: CS Desktop Enterprise Careers 6a20 U.A.;102
CSONDEOBRG21;ON: CS Desktop Enterprise Obras p/ Gestão +20 U.A.;7
CSONCDOCR;ON: CS Corporate Documentos Rede;231
CSCSUPSTSAM;CS Corporate Suporte + Stocks Srv.Adic.Mono;656
CSONMAOBRGR;ON(m): CS Advanced Obras p/ Gestão Rede;38,67
CSONMDEGES20;ON(m): CS Desktop Enterprise Gestão 6a20 U.A.;16,25
RENOVAWEB;Renovação Certificação PHC CS Web;35
CSONMDEPLANP20;ON(m): CS Desktop Enterprise Planeamento p/ Gestão 6a20 U.A.;1,17
CSONMEECOP20P;ON(m): CS Enterprise Ecovalor p/ POS 11a20 Postos;2
CSATDCPROJUA;AT: CS Desktop Corporate Projeto p/ Gestão U.A.;107
CSONDCIMOVUA;ON: CS Desktop Corporate Imóveis U.A.;11
CSDECONTP20;CS Desktop Enterprise Controlo p/ Gestão 6a20 U.A.;59
CSONEEQUIR;ON: CS Enterprise Equipa Rede;1075
CSSADELOGIG21;SA: CS Desktop Enterprise Logística p/ Gestão +20 U.A.;17
CSONMDCGESTEUA;ON(m): CS Desktop Corporate Gestão Terceiros U.A.;1,75
CSONADENSA;ON: CS Advanced Denúncias Srv.Adic.;87
CSONEDESA;ON: CS Enterprise Documentos Eletrónicos Srv.Adic.;110
CSATWECOLAB100;AT: CS Web Enterprise Colaborador 21a100 U.A.;33
CSONWEVENCUA;ON: CS Web Enterprise Vencimentos U.A.;100
CSONMASCR;ON(m): CS Advanced Safe Credit Rede;6,75
CSWEOKR401;CS Web Enterprise OKR +400 U.A.;12
CSONMDECONTP5;ON(m): CS Desktop Enterprise Controlo p/ Gestão 1a5 U.A.;2,58
CSATDEQUADB5;AT: CS Desktop Enterprise Qualidade+Documentos+BPM 1a5 U.A.;292
CSSAEDEN;SA: CS Enterprise Denúncias;546
CSONWEEB2C;ON: CS Web Enterprise E-Commerce B2C;1082
CSATWCGEB2C;AT: CS Web Corporate Grelhas p/ E-Commerce B2C;94
CSEGREGSA;CS Enterprise Grelhas p/ Gestão Srv.Adic.;398
CSONMEGREPR;ON: CS Manufactor Executive Grelhas Rede;576
CSATEORCAPSA;AT: CS Enterprise Orçamento p/ Gestão Srv.Adic.;504
CSONWARGPD;ON: CS Web Advanced RGPD;11
CSONCRES5P;ON: CS Corporate Restauração 2a5 Postos;97
CSECLIR;CS Enterprise Clínica Rede;4479
