ref;design;Preco_Euros
CSONMESINC10P;ON(m): CS Enterprise Sincro 1a10 Postos;4,17
CSONMDEVENC5;ON(m): CS Desktop Enterprise Vencimentos 1a5 U.A.;8,33
CSWEGAI5;CS Web Enterprise GenAI 1a5 U.A.;67
CSMETOUUA;CS Manufactor Executive Touch U.A.;150
CSONMWEEQUI5;ON(m): CS Web Enterprise Equipa 1a5 U.A.;4,42
CSATEGREP21P;AT: CS Enterprise Grelhas p/ POS +20 Postos;39
CSSADECAR20;SA: CS Desktop Enterprise Careers 6a20 U.A.;89
CSONWECRM5;ON: CS Web Enterprise CRM 1a5 U.A.;53
CSCGAISAM;CS Corporate GenAI Srv.Adic.Mono;160
CSONMDESUP21;ON(m): CS Desktop Enterprise Suporte +20 U.A.;2,08
CSONMCDESA;ON(m): CS Corporate Documentos Eletrónicos Srv.Adic.;2,92
CSONELOGIGR;ON: CS Enterprise Logística p/ Gestão Rede;406
CSATEMEDIPSA;AT: CS Enterprise Medição p/ Gestão Srv.Adic.;480
CSONMWCSUPE;ON(m): CS Web Corporate Suporte Extranet;14,67
CSSAADEN;SA: CS Advanced Denúncias;226
CSONMDECONT21;ON(m): CS Desktop Enterprise Contabilidade +20 U.A.;2,08
CSONCIMOBSAR;ON: CS Corporate Imobilizado Srv.Adic.Rede;118
CSONMDELOGIG5;ON(m): CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;3,08
CSONDASHSTUA;ON: CS Desktop Advanced SHST U.A.;10
CSCRES5P;CS Corporate Restauração 2a5 Postos;399
CSDACRMUA;CS Desktop Advanced CRM U.A.;153
CSSAWECRM21;SA: CS Web Enterprise CRM +20 U.A.;24
CSONWEECOG21;ON: CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;4
CSONASHSTR;ON: CS Advanced SHST Rede;155
CSSADECAR21;SA: CS Desktop Enterprise Careers +20 U.A.;45
CSONCECOGR;ON: CS Corporate Ecovalor p/ Gestão Rede;101
CSONMESERVGR;ON(m): CS Enterprise Serviços Rede;19,5
CSATAGREGSA;AT: CS Advanced Grelhas p/ Gestão Srv.Adic.;142
CSCSMS;CS Corporate SMS;304
CSATWADOC101;AT: CS Web Advanced Documentos +100 U.A.;15
CSATCOBRGSAM;AT: CS Corporate Obras p/ Gestão Srv.Adic.Mono;153
CSONMEFORMSA;ON(m): CS Enterprise Formação Srv.Adic.;27,83
CSDEREVIP20;CS Desktop Enterprise Revisão de Preços 6a20 U.A.;130
CSWCDOC120;CS Web Corporate Documentos 1a20 U.A.;31
CSATARES1P;AT: CS Advanced Restauração 1º Posto;250
CSONCGREP5P;ON: CS Corporate Grelhas p/ POS 1a5 Postos;13
CSONMACONTPSA;ON(m): CS Advanced Controlo p/ Gestão Srv.Adic.;22,92
CSSAWAGAI101;SA: CS Web Advanced GenAI +100 U.A.;2
CSONEFORMSA;ON: CS Enterprise Formação Srv.Adic.;334
CSONMCPLANPSAM;ON(m): CS Corporate Planeamento p/ Gestão Srv.Adic.Mono;5,25
CSATASERVGSA;AT: CS Advanced Serviços Srv.Adic.;142
CSCORCAPSAM;CS Corporate Orçamento p/ Gestão Srv.Adic.Mono;723
CSSADCCONTPUA;SA: CS Desktop Corporate Controlo p/ Gestão U.A.;13
CSONMCDOCSAM;ON(m): CS Corporate Documentos Srv.Adic.Mono;5,83
CSACRMR;CS Advanced CRM Rede;2208
CSONWECOLAB5;ON: CS Web Enterprise Colaborador 1a5 U.A.;22
CSONERGPDPPA;ON: CS Enterprise RGPD p/ POS Posto;44
CSATCRES5P;AT: CS Corporate Restauração 2a5 Postos;200
CSONALOGIGR;ON: CS Advanced Logística p/ Gestão Rede;349
CSSACPGLOM;SA: CS Corporate Global Mono;1317
CSSADEIECAG20;SA: CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;17
CSSADCGAIUA;SA: CS Desktop Corporate GenAI U.A.;10
CSSAWEECOG5;SA: CS Web Enterprise Ecovalor p/ Gestão 1a5 U.A.;28
CSSAEIECAP21P;SA: CS Enterprise IEC Álcool p/ POS +20 Postos;26
CSATDEMEDIP5;AT: CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;142
CSEOKRR;CS Enterprise OKR Rede;3198
CSATARGPDSA;AT: CS Advanced RGPD Srv.Adic.;172
CSONWEOKR5;ON: CS Web Enterprise OKR 1a5 U.A.;33
CSONWEOKR401;ON: CS Web Enterprise OKR +400 U.A.;2
CSWADEEXT;CS Web Advanced Documentos Eletrónicos Extranet;430
CSCFORMR;CS Corporate Formação Rede;1645
CSONESHSTSA;ON: CS Enterprise SHST Srv.Adic.;122
CSEMULTR20P;CS Enterprise Multilingua p/ Restauração 11a20 Postos;121
CSONCCONTM;ON: CS Corporate Contabilidade Mono;198
CSONCDOCSAR;ON: CS Corporate Documentos Srv.Adic.Rede;85
CSONMEOKRR;ON(m): CS Enterprise OKR Rede;49,33
CSONMDEQUALI20;ON(m): CS Desktop Enterprise Qualidade 6a20 U.A.;3
CSATWERECRU20;AT: CS Web Enterprise Recrutamento 6a20 U.A.;100
CSATAIECAGR;AT: CS Advanced IEC Álcool p/ Gestão Rede;284
CSAQUALIR;CS Advanced Qualidade Rede;2208
CSSAECONTPR;SA: CS Enterprise Controlo p/ Gestão Rede;453
CSSACFORNP1P;SA: CS Corporate Fornecedores p/ POS 1º Posto;99
CSONMWACOLAB120;ON(m): CS Web Advanced Colaborador 1a20 U.A.;0,92
CSONAFORNPPA;ON: CS Advanced Fornecedores p/ POS Posto;93
CSATCFROTM;AT: CS Corporate Frota Mono;457
CSSACPGCRMR;SA: CS Corporate Gestão Completo + CRM Comercial Rede;905
CSSACFORNP5P;SA: CS Corporate Fornecedores p/ POS 2a5 Postos;121
CSONMDAGREGUA;ON(m): CS Desktop Advanced Grelhas p/ Gestão U.A.;0,58
CSATCSUPSTM;AT: CS Corporate Suporte + Stocks Mono;624
CSONMDECRM20;ON(m): CS Desktop Enterprise CRM 6a20 U.A.;3,08
CSATDAEQPMGUA;AT: CS Desktop Advanced Equipamento p/ Gestão U.A.;18
CSONMWEEB2C;ON(m): CS Web Enterprise E-Commerce B2C;66,17
CSONEQUADBR;ON: CS Enterprise Qualidade+Documentos+BPM Rede;1139
CSCORCAPSAR;CS Corporate Orçamento p/ Gestão Srv.Adic.Rede;869
CSATCMESTSPA;AT: CS Corporate Multi Estação Serviço Posto Adic.;305
CSWCLOTG120;CS Web Corporate Lotes p/ Gestão 1a20 U.A.;26
CSATCSUPSAR;AT: CS Corporate Suporte Srv.Adic.Rede;320
CSEFROTSA;CS Enterprise Frota Srv.Adic.;1279
CSONMECONSSA;ON(m): CS Enterprise Consolidação Srv.Adic.;27,42
CSONWAEB2C;ON: CS Web Advanced E-Commerce B2C;454
CSATAEQPMGR;AT: CS Advanced Equipamento p/ Gestão Rede;284
CSATDCEQPMGUA;AT: CS Desktop Corporate Equipamento p/ Gestão U.A.;13
CSONMMMPLAUA;ON(m): CS Manufactor Manager Planning U.A.;3
CSCGAIR;CS Corporate GenAI Rede;383
CSONESUPSTSA;ON: CS Enterprise Suporte + Stocks Srv.Adic.;418
CSONDAGAI100;ON: CS Desktop Advanced GenAI 21a100 U.A.;4
CSONMDEPROJ20;ON(m): CS Desktop Enterprise Projeto p/ Gestão 6a20 U.A.;5,25
CSATWECRM20;AT: CS Web Enterprise CRM 6a20 U.A.;73
CERTIFGO;Certificação PHC GO;50
CSONMMMMRPR;ON(m): CS Manufactor Manager MRP Rede;22,33
CSATDACRMUA;AT: CS Desktop Advanced CRM U.A.;77
CSONMCIECAGM;ON(m): CS Corporate IEC Álcool p/ Gestão Mono;7,08
CSDEMEDIP21;CS Desktop Enterprise Medição p/ Gestão +20 U.A.;77
CSDEOCUG20;CS Desktop Enterprise Ocupação p/ Gestão 6a20 U.A.;124
CSONMAPOS1P;ON(m): CS Advanced POS 1º Posto;7,67
CSATERES20P;AT: CS Enterprise Restauração 11a20 Postos;384
CSONMEDE;ON(m): CS Enterprise Documentos Eletrónicos;22,33
CSONMDESERVG5;ON(m): CS Desktop Enterprise Serviços 1a5 U.A.;1,75
CSDEREVIP5;CS Desktop Enterprise Revisão de Preços 1a5 U.A.;259
CSSAWEGREE;SA: CS Web Enterprise Grelhas Extranet;161
CSONWAFORME;ON: CS Web Advanced Formação Extranet;352
CSDEOCUG21;CS Desktop Enterprise Ocupação p/ Gestão +20 U.A.;56
CSONMEMOLR;ON: CS Manufactor Executive Moldes Rede;282
CSONMETERMR20P;ON(m): CS Enterprise Terminais p/ Rest. 11a20 Postos;1,83
CSSAAECOPPA;SA: CS Advanced Ecovalor p/ POS Posto;31
CSONMDESERVG21;ON(m): CS Desktop Enterprise Serviços +20 U.A.;0,42
CSONMCECOGM;ON(m): CS Corporate Ecovalor p/ Gestão Mono;7,08
CSATDAPLANPUA;AT: CS Desktop Advanced Planeamento p/ Gestão U.A.;40
CSONWEEB2B;ON: CS Web Enterprise E-Commerce B2B;528
CSSADEEQPMG5;SA: CS Desktop Enterprise Equipamento p/ Gestão 1a5 U.A.;38
CSONCPLANPR;ON: CS Corporate Planeamento p/ Gestão Rede;153
CSCOCUGM;CS Corporate Ocupação p/ Gestão Mono;609
CSATEDEPOS;AT: CS Enterprise Documentos Eletrónicos p/ POS;100
CSAOCUGSA;CS Advanced Ocupação p/ Gestão Srv.Adic.;920
CSONAVENCR;ON: CS Advanced Vencimentos Rede;549
CSSACEQPMP5P;SA: CS Corporate Equipamento p/ POS 1a5 Postos;31
CSWCEQUI120;CS Web Corporate Equipa 1a20 U.A.;37
CSSAWABC5;SA: CS Web Advanced Bank Connector 5;192
CSDAMEDIPUA;CS Desktop Advanced Medição p/ Gestão U.A.;151
CSCIECAGM;CS Corporate IEC Álcool p/ Gestão Mono;460
CSATEIECAP10P;AT: CS Enterprise IEC Álcool p/ POS 1a10 Postos;57
CSATEMULT;AT: CS Enterprise Multilingua;600
CSSAWEDOC100;SA: CS Web Enterprise Documentos 21a100 U.A.;22
CSSADASUPUA;SA: CS Desktop Advanced Suporte U.A.;50
CSONDACONTPUA;ON: CS Desktop Advanced Controlo p/ Gestão U.A.;15
CSATCOCUGR;AT: CS Corporate Ocupação p/ Gestão Rede;366
CSERGPDPPA;CS Enterprise RGPD p/ POS Posto;240
CSWESUP5;CS Web Enterprise Suporte 1a5 U.A.;403
CSONMESHSTSA;ON(m): CS Enterprise SHST Srv.Adic.;10,17
CERTIFOKR;Certificação OKR | Objectives and Key Results;100
CSARGPDSA;CS Advanced RGPD Srv.Adic.;343
CSONEORCAPR;ON: CS Enterprise Orçamento p/ Gestão Rede;592
CSONWCECOE;ON: CS Web Corporate Ecovalor Extranet;33
CSATEFORNP10P;AT: CS Enterprise Fornecedores p/ POS 1a10 Postos;320
CSONMCGAIM;ON(m): CS Corporate GenAI mono;4,92
CSONMCFORMSAM;ON(m): CS Corporate Formação Srv.Adic.Mono;10,58
CSATEMESTSPA;AT: CS Enterprise Multi Estação Serviço Posto Adic.;401
CSSADAFROTUA;SA: CS Desktop Advanced Frota U.A.;50
CSSADEIMOB21;SA: CS Desktop Enterprise Imobilizado +20 U.A.;45
CSSAWECAR20;SA: CS Web Enterprise Careers 6a20 U.A.;31
CSONACARR;ON: CS Advanced Careers Rede;206
CSCMEDIPR;CS Corporate Medição p/ Gestão Rede;1737
CSSADEGAI20;SA: CS Desktop Enterprise GenAI 6a20 U.A.;22
CSATECLISA;AT: CS Enterprise Clínica Srv.Adic.;640
CSATWAEQUIE;AT: CS Web Advanced Equipa Extranet;665
CSONMDECLI21;ON(m): CS Desktop Enterprise Clínica +20 U.A.;1,5
CSATDESUPST20;AT: CS Desktop Enterprise Suporte + Stocks 6a20 U.A.;171
CSDCLOTGUA;CS Desktop Corporate Lotes p/ Gestão U.A.;35
CSONMCFROTSAR;ON(m): CS Corporate Frota Srv.Adic.Rede;8,5
CERTUPADVENT;Evolução Certificação PHC CS Advanced/Enterprise;150
CERTIFADV;Certificação PHC CS Advanced;250
CSEQUALIR;CS Enterprise Qualidade Rede;4264
CSATWEGEB2C;AT: CS Web Enterprise Grelhas p/ E-Commerce B2C;245
CSONDCSERVGUA;ON: CS Desktop Corporate Serviços U.A.;5
CSATEMULTP20P;AT: CS Enterprise Multilingua p/ POS 11a20 Postos;61
CSATERGPDRPA;AT: CS Enterprise RGPD p/ Restauração Posto;120
CSONDESC20;ON: CS Desktop Enterprise Safe Credit 6a20 U.A.;5
CSONMEPLATSA;ON: CS Manufactor Executive Platform Srv.Adic.;834
CSSAWARECRU21;SA: CS Web Advanced Recrutamento +20 U.A.;23
CSONDESERVG20;ON: CS Desktop Enterprise Serviços 6a20 U.A.;10
CSAMULTPPA;CS Advanced Multilingua p/ POS Posto;114
CSONALOTPPA;ON: CS Advanced Lotes p/ POS Posto;56
CSONMCVENCSAR;ON(m): CS Corporate Vencimentos Srv.Adic.Rede;10,17
CSONWEIMOB5;ON: CS Web Enterprise Imobilizado 1a5 U.A.;68
CSONCPOS1P;ON: CS Corporate POS 1º Posto;55
CSONAFORMR;ON: CS Advanced Formação Rede;408
CSONDEECOG21;ON: CS Desktop Enterprise Ecovalor p/ Gestão +20 U.A.;5
CSSADESHST5;SA: CS Desktop Enterprise SHST 1a5 U.A.;66
CSONMEDERES;ON(m): CS Enterprise Documentos Eletrónicos p/ Restauração;3,08
CSWAEB2C;CS Web Advanced E-Commerce B2C;2452
CSSAWCECOE;SA: CS Web Corporate Ecovalor Extranet;59
CSATAVENCSA;AT: CS Advanced Vencimentos Srv.Adic.;743
CSATERGPDPPA;AT: CS Enterprise RGPD p/ POS Posto;120
CSSAEDEPOS;SA: CS Enterprise Documentos Eletrónicos p/ POS;66
CSONDCGESUA;ON: CS Desktop Corporate Gestão U.A.;21
CSEPROJSA;CS Enterprise Projeto p/ Gestão Srv.Adic.;2239
CSDALOTGUA;CS Desktop Advanced Lotes p/ Gestão U.A.;131
CSATESHSTSA;AT: CS Enterprise SHST Srv.Adic.;329
CSSACRGPDPPA;SA: CS Corporate RGPD p/ POS Posto;32
CSONMCDOCR;ON(m): CS Corporate Documentos Rede;14,08
CSSAADERES;SA: CS Advanced Documentos Eletrónicos p/ Restauração;49
CSSAWCVENC120;SA: CS Web Corporate Vencimentos 1a20 U.A.;17
CSONWECAR5;ON: CS Web Enterprise Careers 1a5 U.A.;23
CSONEREVIPR;ON: CS Enterprise Revisão de Preços Rede;536
CSONMCCONTM;ON(m): CS Corporate Contabilidade Mono;16,5
CSATWEDOC20;AT: CS Web Enterprise Documentos 6a20 U.A.;63
CSONCLOTGSAR;ON: CS Corporate Lotes p/ Gestão Srv.Adic.Rede;68
CSATESERVGSA;AT: CS Enterprise Serviços Srv.Adic.;190
CSSADEGREG20;SA: CS Desktop Enterprise Grelhas p/ Gestão 6a20 U.A.;17
CSATCGREGR;AT: CS Corporate Grelhas p/ Gestão Rede;274
CSONCDE;ON: CS Corporate Documentos Eletrónicos;70
CSONMWECOLAB100;ON(m): CS Web Enterprise Colaborador 21a100 U.A.;0,92
CSONEEQPMP21P;ON: CS Enterprise Equipamento p/ POS +20 Postos;18
CSONMDCGESUA;ON(m): CS Desktop Corporate Gestão U.A.;1,75
CSDECLI21;CS Desktop Enterprise Clínica +20 U.A.;98
CSONAPLANPSA;ON: CS Advanced Planeamento p/ Gestão Srv.Adic.;99
CSMEPLATUA;CS Manufactor Executive Platform U.A.;901
CURSCONTAB;Curso contabilidade do zero: maximize a sua produtividade;140
CSONMDEGES5;ON(m): CS Desktop Enterprise Gestão 1a5 U.A.;23,83
CSATWAVENCUA;AT: CS Web Advanced Vencimentos U.A.;100
CSONCEQPMGSAM;ON: CS Corporate Equipamento p/ Gestão Srv.Adic.Mono;43
CSSADCLETUA;SA: CS Desktop Corporate Letras U.A.;11
CSDALOGIGUA;CS Desktop Advanced Logística p/ Gestão U.A.;132
CSSADCIECAGUA;SA: CS Desktop Corporate IEC Álcool p/ Gestão U.A.;9
CSONMWEDEN;ON(m): CS Web Enterprise Denúncias;2,42
CSONDEPLANP21;ON: CS Desktop Enterprise Planeamento p/ Gestão +20 U.A.;5
CSONDCIMOBUA;ON: CS Desktop Corporate Imobilizado U.A.;13
CSCMEDIPM;CS Corporate Medição p/ Gestão Mono;1446
CSONMWARGPD;ON(m): CS Web Advanced RGPD;0,67
CSATEFROTSA;AT: CS Enterprise Frota Srv.Adic.;640
CSSAEEQPMP10P;SA: CS Enterprise Equipamento p/ POS 1a10 Postos;50
CSATDESHST5;AT: CS Desktop Enterprise SHST 1a5 U.A.;101
CSATDCPROJUA;AT: CS Desktop Corporate Projeto p/ Gestão U.A.;102
CSSAWAOKR100;SA: CS Web Advanced OKR 21a100 U.A.;15
CSATDCFORMUA;AT: CS Desktop Corporate Formação U.A.;43
CSDEIECAG20;CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;52
CSATACONSA;AT: CS Advanced Conector Srv.Adic.;362
CSONCFAT3P;ON: CS Corporate Faturação 2a3 Postos;65
CSDASERVGUA;CS Desktop Advanced Serviços U.A.;36
CSATDEMEDIP21;AT: CS Desktop Enterprise Medição p/ Gestão +20 U.A.;39
CSONCMEDIPSAM;ON: CS Corporate Medição p/ Gestão Srv.Adic.Mono;134
CSATDEPLANP5;AT: CS Desktop Enterprise Planeamento p/ Gestão 1a5 U.A.;62
CSONAEDIBSA;ON: CS Advanced EDI Broker Srv.Adic.;37
CSATDECONT20;AT: CS Desktop Enterprise Contabilidade 6a20 U.A.;135
CSATCCLISAR;AT: CS Corporate Clínica Srv.Adic.Rede;320
CSATWEIMOB5;AT: CS Web Enterprise Imobilizado 1a5 U.A.;185
CSATADERES;AT: CS Advanced Documentos Eletrónicos p/ Restauração;75
CSONMMEMRPR;ON(m): CS Manufactor Executive MRP Rede;70,42
CSCPGGLOSAR;CS Corporate Gabinetes Global Srv.Adic.Rede;1645
CSONMECONTSA;ON(m): CS Enterprise Contabilidade Srv.Adic.;27,42
CSONMAPLANPR;ON(m): CS Advanced Planeamento p/ Gestão Rede;16,5
CSSADEDOCB5;SA: CS Desktop Enterprise Documentos + BPM 1a5 U.A.;115
CSONMCEQUIM;ON(m): CS Corporate Equipa Mono;14,08
CSSAWACOLAB100;SA: CS Web Advanced Colaborador 21a100 U.A.;10
CSCMESTS1P;CS Corporate Multi Estação Serviço 1º Posto;494
CSONWECRM21;ON: CS Web Enterprise CRM +20 U.A.;14
CSONMMELOTUA;ON(m): CS Manufactor Executive Lotes U.A.;2,33
CSONMMPLATUA;ON: CS Manufactor Manager Platform U.A.;67
CSONDASUPUA;ON: CS Desktop Advanced Suporte U.A.;28
CSONMECONTPSA;ON(m): CS Enterprise Controlo p/ Gestão Srv.Adic.;27,42
CSCPLANPSAR;CS Corporate Planeamento p/ Gestão Srv.Adic.Rede;413
CSONMDELOGIG20;ON(m): CS Desktop Enterprise Logística p/ Gestão 6a20 U.A.;1,5
CSSAEFORNR21P;SA: CS Enterprise Fornecedores p/ Rest. +20 Postos;135
CSONMWEGREG20;ON(m): CS Web Enterprise Grelhas p/ Gestão 6a20 U.A.;0,58
CSONMDEEQPMG20;ON(m): CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;0,83
CSATDESUP20;AT: CS Desktop Enterprise Suporte 6a20 U.A.;137
CSATESHSTR;AT: CS Enterprise SHST Rede;1097
CSATADE;AT: CS Advanced Documentos Eletrónicos;343
CSONMWEDOC400;ON(m): CS Web Enterprise Documentos 101a400 U.A.;0,33
CSWAIMOBUA;CS Web Advanced Imobilizado U.A.;145
CSATDEIECAG5;AT: CS Desktop Enterprise IEC Álcool p/ Gestão 1a5 U.A.;57
CSSAEMULTP21P;SA: CS Enterprise Multilingua p/ POS +20 Postos;33
CSONAPROJR;ON: CS Advanced Projeto p/ Gestão Rede;1071
CSDEORCAP21;CS Desktop Enterprise Orçamento p/ Gestão +20 U.A.;77
CSCGAISAR;CS Corporate GenAI Srv.Adic.Rede;192
CSSAEXLPA;SA: CS Enterprise XL Posto Adic.;52
CSONMWEOKR400;ON(m): CS Web Enterprise OKR 101a400 U.A.;0,33
CSATEFORMR;AT: CS Enterprise Formação Rede;3009
CSONDAPLANPUA;ON: CS Desktop Advanced Planeamento p/ Gestão U.A.;15
CSATCGESSAM;AT: CS Corporate Gestão Srv.Adic.Mono;457
CSSAESINC10P;SA: CS Enterprise Sincro 1a10 Postos;90
CSWECAR100;CS Web Enterprise Careers 21a100 U.A.;64
CSONMDEFORM20;ON(m): CS Desktop Enterprise Formação 6a20 U.A.;4,25
CSONCVENCSAM;ON: CS Corporate Vencimentos Srv.Adic.Mono;102
CSONMDECAR21;ON(m): CS Desktop Enterprise Careers +20 U.A.;2,08
CSWECRM20;CS Web Enterprise CRM 6a20 U.A.;146
CSEQUADBR;CS Enterprise Qualidade+Documentos+BPM Rede;6155
CSONMDEEQUI20;ON(m): CS Desktop Enterprise Equipa 6a20 U.A.;3,08
CSONCLOTGR;ON: CS Corporate Lotes p/ Gestão Rede;135
CSONMMMOLUA;ON: CS Manufactor Manager Moldes U.A.;9
CSATAIECAPPA;AT: CS Advanced IEC Álcool p/ POS Posto;47
CSONMDESC20;ON(m): CS Desktop Enterprise Safe Credit 6a20 U.A.;0,42
CSONCLETSAM;ON: CS Corporate Letras Srv.Adic.Mono;56
CSONWEFORM20;ON: CS Web Enterprise Formação 6a20 U.A.;38
CSSAESUPSTR;SA: CS Enterprise Suporte + Stocks Rede;2488
CSONERES21P;ON: CS Enterprise Restauração +20 Postos;114
CSEOCUGR;CS Enterprise Ocupação p/ Gestão Rede;2741
CSONMCGESSAM;ON(m): CS Corporate Gestão Srv.Adic.Mono;14,08
CSONMDCORCAPUA;ON(m): CS Desktop Corporate Orçamento p/ Gestão U.A.;1,42
CSDAIMOBUA;CS Desktop Advanced Imobilizado U.A.;213
CERTPROJ;Certificação PHC CS Projeto;100
CSATDAORCAPUA;AT: CS Desktop Advanced Orçamento p/ Gestão U.A.;76
CSSAESINC20P;SA: CS Enterprise Sincro 11a20 Postos;73
CSONDECLI5;ON: CS Desktop Enterprise Clínica 1a5 U.A.;71
CSATCPROJSAR;AT: CS Corporate Projeto p/ Gestão Srv.Adic.Rede;1005
CSONMEECOP21P;ON(m): CS Enterprise Ecovalor p/ POS +20 Postos;1,17
CSCGESCLSAR;CS Corporate Gestão Clientes Srv.Adic.Rede;239
CSEFORNR21P;CS Enterprise Fornecedores p/ Rest. +20 Postos;410
CSONWECRM20;ON: CS Web Enterprise CRM 6a20 U.A.;27
CSDAGESUA;CS Desktop Advanced Gestão U.A.;267
CSEMULT;CS Enterprise Multilingua;1200
CSATAGREPPA;AT: CS Advanced Grelhas p/ POS Posto;47
CSETERMR10P;CS Enterprise Terminais p/ Rest. 1a10 Postos;150
CSONWERECRU5;ON: CS Web Enterprise Recrutamento 1a5 U.A.;53
CSONDEPROJ20;ON: CS Desktop Enterprise Projeto p/ Gestão 6a20 U.A.;63
CSATCEQUISAR;AT: CS Corporate Equipa Srv.Adic.Rede;275
CSONMDEIECAG21;ON(m): CS Desktop Enterprise IEC Álcool p/ Gestão +20 U.A.;0,42
CSEECOGR;CS Enterprise Ecovalor p/ Gestão Rede;1264
CSSAEIECAP10P;SA: CS Enterprise IEC Álcool p/ POS 1a10 Postos;38
CSSAEECOP21P;SA: CS Enterprise Ecovalor p/ POS +20 Postos;26
CSEDE;CS Enterprise Documentos Eletrónicos;1446
CSSAWEEQPMG20;SA: CS Web Enterprise Equipamento p/ Gestão 6a20 U.A.;13
CSONMWECAR401;ON(m): CS Web Enterprise Careers +400 U.A.;0,17
CSSAAMESTSPA;SA: CS Advanced MultiEstação Serviço Posto adic.;201
CSONMCCLIR;ON(m): CS Corporate Clínica Rede;19,75
CSONDEOBRG20;ON: CS Desktop Enterprise Obras p/ Gestão 6a20 U.A.;10
CSCLETSAM;CS Corporate Letras Srv.Adic.Mono;305
CSSADAPROJUA;SA: CS Desktop Advanced Projeto p/ Gestão U.A.;133
CSONMMTOUUA;ON: CS Manufactor Manager Touch U.A.;9
CSCGESSAM;CS Corporate Gestão Srv.Adic.Mono;914
CSCRGPD;CS Corporate RGPD;379
CSSAALOTGR;SA: CS Advanced Lotes p/ Gestão Rede;607
CSATAEQUIR;AT: CS Advanced Equipa Rede;1104
CSATWEFORME;AT: CS Web Enterprise Formação Extranet;1426
CSONDCOBRGUA;ON: CS Desktop Corporate Obras p/ Gestão U.A.;6
CSATAMULTPPA;AT: CS Advanced Multilingua p/ POS Posto;57
CSONMDEQUALI5;ON(m): CS Desktop Enterprise Qualidade 1a5 U.A.;5,92
CSONDASC21;ON: CS Desktop Advanced Safe Credit U.A.;4
CSATATERMPSA;AT: CS Advanced Terminais Portáteis Srv.Adic.;362
CSONDESERVG5;ON: CS Desktop Enterprise Serviços 1a5 U.A.;21
CSATWCEB2C;AT: CS Web Corporate E-Commerce B2C;612
CSERGPDRPA;CS Enterprise RGPD p/ Restauração Posto;240
CSONECONTR;ON: CS Enterprise Contabilidade Rede;1099
CSALOTPPA;CS Advanced Lotes p/ POS Posto;304
SQL19RNSTANDCAL;CAL SQL Server 2019 Runtime STANDARD Edition;224
CSONEGREP10P;ON: CS Enterprise Grelhas p/ POS 1a10 Postos;21
CSSADCPROJUA;SA: CS Desktop Corporate Projeto p/ Gestão U.A.;67
CSATECONTPSA;AT: CS Enterprise Controlo p/ Gestão Srv.Adic.;891
CSCGREP5P;CS Corporate Grelhas p/ POS 1a5 Postos;71
CSONWCEB2B;ON: CS Web Corporate E-Commerce B2B;176
CSATDCOCUGUA;AT: CS Desktop Corporate Ocupação p/ Gestão U.A.;17
CSATCIMOVM;AT: CS Corporate Imóveis Mono;380
CSONMWECOLAB401;ON(m): CS Web Enterprise Colaborador +400 U.A.;0,17
CSMMPLAUA;CS Manufactor Manager Planning U.A.;195
CSDESERVG5;CS Desktop Enterprise Serviços 1a5 U.A.;114
CSSACORCAPM;SA: CS Corporate Orçamento p/ Gestão Mono;477
CSASUPSTR;CS Advanced Suporte + Stocks Rede;2969
CSONMWCGREG120;ON(m): CS Web Corporate Grelhas p/ Gestão 1a20 U.A.;0,33
CSSACPLANPM;SA: CS Corporate Planeamento p/ Gestão Mono;226
CSAGESR;CS Advanced Gestão Rede;3776
CSATARESPA;AT: CS Advanced Restauração Posto Adic.;300
CSONMDCEQUIUA;ON(m): CS Desktop Corporate Equipa U.A.;0,75
CSONDECONTP20;ON: CS Desktop Enterprise Controlo p/ Gestão 6a20 U.A.;10
CSSAWAOKR120;SA: CS Web Advanced OKR 1a20 U.A.;29
CSATCCRMR;AT: CS Corporate CRM Rede;549
CSALETSA;CS Advanced Letras Srv.Adic.;1104
CSONCDOCSAM;ON: CS Corporate Documentos Srv.Adic.Mono;70
CSATWECAR401;AT: CS Web Enterprise Careers +400 U.A.;5
CSONWEGREE;ON: CS Web Enterprise Grelhas Extranet;90
CSATCDESA;AT: CS Corporate Documentos Eletrónicos Srv.Adic.;95
CSSAWAGAI120;SA: CS Web Advanced GenAI 1a20 U.A.;12
CSONMDECONS20;ON(m): CS Desktop Enterprise Consolidação 6a20 U.A.;4,08
CSCOCUGSAM;CS Corporate Ocupação p/ Gestão Srv.Adic.Mono;305
CSONMACONTPR;ON(m): CS Advanced Controlo p/ Gestão Rede;16,5
CSONMECLIR;ON(m): CS Enterprise Clínica Rede;65,75
CSWECRM5;CS Web Enterprise CRM 1a5 U.A.;286
CSWEFORM5;CS Web Enterprise Formação 1a5 U.A.;403
CSDELOGIG21;CS Desktop Enterprise Logística p/ Gestão +20 U.A.;45
CSATWCLOTG120;AT: CS Web Corporate Lotes p/ Gestão 1a20 U.A.;13
CSONMMLOTUA;ON: CS Manufactor Manager Lotes U.A.;9
CSATCRGPDPPA;AT: CS Corporate RGPD p/ POS Posto;48
